Cmdline: /system/xbin/simpleperf record -g am start com.mediatek.camera -o lauchcamera.data
Samples: 3637 of event 'cpu-cycles'
Event count: 853191335

Overhead  Command          Pid   Tid   Shared Object                               Symbol
0.03%     main             2885  2885  /system/lib/libart.so                       art::gc::allocator::RosAlloc::RefillRun(art::Thread*, unsigned int)
0.03%     main             2885  2885  /system/lib/libart.so                       art::IndirectReferenceTable::Remove(unsigned int, void*)
0.03%     am               2885  2885  /system/bin/linker                          [linker]soinfo::protect_relro()
0.03%     am               2885  2885  /system/bin/linker                          [linker]split_path(char const*, char const*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*)
0.03%     main             2885  2885  /system/bin/linker                          [linker]soinfo::lookup_version_info(VersionTracker const&, unsigned int, char const*, version_info const**)
0.03%     main             2885  2885  /system/lib/libart.so                       art::mirror::Object* art::gc::Heap::AllocObjectWithAllocator<true, true, art::mirror::SetLengthVisitor>(art::Thread*, art::mirror::Class*, unsigned int, art::gc::AllocatorType, art::mirror::SetLengthVisitor const&)
0.03%     main             2885  2885  /system/lib/libart.so                       void art::JNI::GetPrimitiveArrayRegion<_jcharArray*, unsigned short, art::mirror::PrimitiveArray<unsigned short> >(_JNIEnv*, _jcharArray*, int, int, unsigned short*)
0.03%     main             2885  3088  unknown                                     unknown
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]MappedFileFragment::MappedFileFragment()
0.03%     main             2885  2885  /system/lib/libart.so                       art::OatFile::End() const
0.03%     main             2885  2885  /system/lib/libart.so                       art_quick_indexof
0.03%     Shutdown thread  2885  2885  /system/vendor/lib/libudf.so                free
0.03%     am               2885  2885  /system/vendor/lib/libudf.so                malloc
0.03%     main             2885  2885  /system/lib/libart.so                       art::ObjectLock<art::mirror::Class>::ObjectLock(art::Thread*, art::Handle<art::mirror::Class>)
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]soinfo_alloc(android_namespace_t*, char const*, stat*, long long, unsigned int)
0.03%     main             2885  2885  /system/bin/linker                          [linker]LinkerMemoryAllocator::free(void*)
0.03%     am               2885  2885  /system/lib/libc.so                         __memchr_chk
0.03%     main             2885  2885  /system/bin/linker                          [linker]get_application_target_sdk_version()
0.03%     Binder:2885_1    2885  3132  /system/lib/libart.so                       art::CheckMapRequest(unsigned char*, void*, unsigned int, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >*)
0.03%     app_process      2885  2885  /system/lib/libart.so                       unix_file::FdFile::ReadFully(void*, unsigned int)
0.03%     main             2885  2885  /system/lib/libart.so                       void std::__1::__sort<art::LinkFieldsComparator&, std::__1::__deque_iterator<art::ArtField*, art::ArtField**, art::ArtField*&, art::ArtField***, int, 1024> >(std::__1::__deque_iterator<art::ArtField*, art::ArtField**, art::ArtField*&, art::ArtField***, int, 1024>, std::__1::__deque_iterator<art::ArtField*, art::ArtField**, art::ArtField*&, art::ArtField***, int, 1024>, art::LinkFieldsComparator&)
0.03%     main             2885  2885  /system/lib/libart.so                       art::LinkVirtualHashTable::Add(unsigned int)
0.03%     FinalizerWatchd  2885  3091  unknown                                     unknown
0.03%     main             2885  2885  /system/lib/libart.so                       art::JniMethodEndWithReference(_jobject*, unsigned int, art::Thread*)
0.03%     main             2885  2885  /system/lib/libart.so                       artAllocStringFromCharsFromCodeRosAlloc
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]ElfReader::get_string(unsigned int) const
0.03%     main             2885  2885  /system/bin/linker                          [linker]ElfReader::CheckFileRange(unsigned int, unsigned int)
0.03%     main             2885  2885  /system/bin/linker                          [linker]LinkerSmallObjectAllocator::find_page_record(void*)
0.03%     main             2885  2885  /system/bin/linker                          [linker]soinfo::elf_lookup(SymbolName&, version_info const*, unsigned int*) const
0.03%     am               2885  2885  /system/bin/linker                          [linker]read_spec_entries(char*, int, ...)
0.03%     am               2885  2885  /system/bin/linker                          [linker]strnlen
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]std::__1::__hash_table<std::__1::__hash_value_type<soinfo const*, ElfReader>, std::__1::__unordered_map_hasher<soinfo const*, std::__1::__hash_value_type<soinfo const*, ElfReader>, std::__1::hash<soinfo const*>, true>, std::__1::__unordered_map_equal<soinfo const*, std::__1::__hash_value_type<soinfo const*, ElfReader>, std::__1::equal_to<soinfo const*>, true>, std::__1::allocator<std::__1::__hash_value_type<soinfo const*, ElfReader> > >::__node_insert_unique(std::__1::__hash_node<std::__1::__hash_value_type<soinfo const*, ElfReader>, void*>*)
0.03%     app_process      2885  2885  /system/vendor/lib/libudf.so                unknown
0.03%     main             2885  2885  /system/lib/libart.so                       art::ClassLinker::ResolveType(art::DexFile const&, unsigned short, art::Handle<art::mirror::DexCache>, art::Handle<art::mirror::ClassLoader>)
0.03%     main             2885  2885  /system/bin/linker                          [linker]void std::__1::vector<LoadTask*, std::__1::allocator<LoadTask*> >::__push_back_slow_path<LoadTask*>(LoadTask*&&)
0.03%     main             2885  2885  /system/lib/libart.so                       art::jit::Jit::ShouldUsePriorityThreadWeight()
0.03%     am               2885  2885  /system/bin/linker                          [linker]memcpy
0.03%     app_process      2885  2885  /system/lib/libc++.so                       std::__1::ios_base::init(void*)
